"국가및권역별","전산업·소재부품장비산업별","항목","단위","2012.01 월","2012.02 월","2012.03 월","2012.04 월","2012.05 월","2012.06 월","2012.07 월","2012.08 월","2012.09 월","2012.10 월","2012.11 월","2012.12 월","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월",
"브라질","전산업","수출액[$]","$","639417931","1335238033","837919739","717363756","1279046117","934907046","816841751","722829721","798005293","786016668","723495647","694983197","695208807","655851563","891167068","852481048","946505772","777606927","797826789","740106799","806675415","927535212","774532104","822738515","800319519","814874031","900240247","786622556","689489391","666902076","801291790","682061954","751332197","756950472","562206026","709800278","656207432","654090645","683284893","591759473","413912061","381836913","466561129","381280990","398342485","308973292","280149911","278497077","288870078","344828223","351532476","361513504","412260593","389582377","415485256","380271454","374540677","363147065","410275438","364235878","449005461","447630483","514490842","496971210","432066195","465511736","467961584","439107638","502578899","415140281","436998971","437768275","492937459","445018230","448064637","438123576","428541439","396582356","370624872","405559389","375138727","380050801","353819336","349232649","430586490","374221105","437659656","422632415","449469002","435347232","425147714","407400720","365310148","380896881","317972016","362563870","319524503","360011533","358588118","236664945","208193509","260659408","338072716","293807287","401137429","355573253","332948648","478457034","440973138","387574184","443796521","407931945","333899673","406244513","376549206","322290388","382121209","344891643","382723803","437444048","440837684","393373392","480114490",
"브라질","전산업","수입액[$]","$","690158449","699546100","412518716","408726374","465013848","450722165","375007496","532090660","424970438","601415118","510137180","515057505","460995334","396599872","549400571","539911696","382356602","383930745","545632337","357607862","404386104","528577873","555647983","468070102","488123970","411400855","276976893","395932138","421155340","281836176","447862248","422049351","249142079","597927213","461745285","452976004","458019847","263427483","385683391","261284010","341736239","251687147","371182062","207288836","249083224","399248016","441792210","428265177","361538415","328752748","267358795","311212974","340546367","246711176","259766653","253495899","247485233","251899065","287332014","288623543","286100893","205842715","294512605","278043224","229089581","375578770","242139813","334502704","372194283","294671159","388089832","401571010","427468372","307312947","254965343","245445216","303901659","354754376","350405208","371403160","280003499","346728540","348172334","317499720","444286391","326196644","333090319","299846576","276852269","195794498","324558113","397522084","338498780","468308083","465989284","424653691","346728185","267654162","400124710","333474689","421835613","244833973","308269583","311260841","379442210","363590035","506764352","353387858","486412935","536480338","476313312","448989181","511990605","746177795","777555360","429070764","378983256","642143488","565226482","622373530","631821570","641061527","745295474",
"브라질","소재·부품·장비산업","수출액[$]","$","381212096","435012536","439580536","407073300","450723711","496780890","500997818","462445380","512290460","500318847","441760008","409858028","511052741","471238907","612558256","623030803","724058111","572561295","573904710","540251290","572771240","682803434","543041486","603854405","565819912","586248679","584182531","588044095","502683727","480852087","565515433","515686627","554773144","600185106","438881870","509368171","532872773","527394161","563408824","480863233","341278521","277668669","383505264","313990609","325906272","250981606","206110542","199378057","224607798","262586435","272120857","277156280","334257728","296569547","294800826","291840438","271389787","277227504","311032566","279604480","357799101","357281156","410071493","380405504","330553607","365707370","355780823","338849770","363803550","299157918","311645621","308957365","345817200","341136612","359741120","345663625","347889734","320013098","293611081","324979139","304938664","309105992","265468717","256154223","297595111","270625917","313714444","304382076","302550058","276245336","303425653","290437213","267795398","282844813","234898237","271924521","255292077","286127229","293996095","196858975","158189210","189184374","249703660","209951934","313088737","276863756","267517761","395575454","350886070","305723528","366428879","300922599","254559111","308717542","267856515","211421688","285726378","268465200","279497869","317437209","328166024","303593955","355758230",
"브라질","소재·부품·장비산업","수입액[$]","$","29582551","32311222","14408302","27580396","18582996","29796059","19720828","29242417","19803245","44482733","19707808","27678980","25303838","24891765","18292140","29571672","30275912","23736523","27307160","30682605","14983816","43407327","28903081","28320365","25546405","27610773","17765026","30132158","35761196","31031438","31487831","30438461","32503714","26028796","36381060","18239762","26439216","29479693","31490804","30350563","20528371","34072857","33100909","26221911","26425328","30482519","29266814","29245650","19045350","17825356","20116437","19992911","23883224","23539526","20718092","24871140","24837848","22343690","22831209","24092078","23938826","16174832","29330788","32271858","25713984","31808563","22061296","46633814","23700625","18490089","17725495","48781180","17150592","34650309","41754722","23073375","21248543","31793905","25384150","30131803","18637961","41729203","26465062","21817697","39512472","19873217","21617289","22907479","30203170","24516044","24868472","32337878","26903654","39968241","32752254","19119756","26819801","17289551","22842490","35110394","14099317","15356092","26038411","19918570","30135628","17453950","24842144","31208951","28221055","21175361","30978360","36124100","35958950","36575326","32114216","30321496","24842135","34125186","36299213","45167496","32831418","35175722","35313506",
"아프리카","전산업","수출액[$]","$","683247711","1070599554","715407649","765219770","1026637288","1093336622","609485308","539266674","697478230","452013249","933779448","598810519","945091906","938983623","1111581589","657272297","620150465","546493201","543079121","545255546","1112647437","1567012173","1159994060","1418065466","1247751009","715487890","565622901","1032142629","470020975","514082479","637326722","1281110376","476481460","576257025","737309506","1647322874","1827951799","454749704","830263444","607603000","389259716","483559567","362226275","390445514","557147244","285502983","731627465","638672293","676061708","359929497","440631277","555363703","557035644","1040749477","782925606","1916439607","496968233","556083771","810657363","619695407","608815801","458662180","594626297","448107173","386276887","482436683","558657833","479968774","596346290","2022402449","336777420","556449275","447590867","417899887","512602924","466616611","666473013","564183297","681027279","438414354","735525975","510130883","331376301","611118478","484160283","553783609","481331207","633315590","743572899","805421537","534612737","280826736","408424428","350979160","475574719","502633720","909230296","666278837","473270782","341011277","209270519","334263409","412885688","503436870","507581535","395806911","517714984","503711841","598260977","436207120","417393227","639526045","382297935","915131747","600863354","747181423","577809383","394055953","2914796747","461443604","509294489","554729390","608458713",
"아프리카","전산업","수입액[$]","$","486188224","618353308","562348598","496869427","404670794","469568017","398625316","321396613","329231472","382563542","334967882","577954480","640489087","568291675","291593403","568105348","319135023","406264518","356723018","565838236","368534662","576544123","454185787","675620485","936673090","831063819","740849384","770709181","501033194","456022166","652779894","582855703","648390774","569479108","487930240","876218873","480219080","478831790","441336050","538644753","495924597","444676653","467505882","433343953","516014739","454434751","369888407","427986198","343947071","408615337","369273929","323322886","448506903","405323872","389837506","400476873","361527454","280462933","367065488","465438255","547621435","538434291","519124590","413089046","374861892","362797599","350471588","378493575","371142157","479780494","405271561","610617512","436092941","474456679","521092720","581253140","525879785","581688622","457320003","442869629","419142447","571238201","577233786","546312817","387881756","436554843","415523183","465221685","448529883","499776021","305782864","335294756","487658464","328716620","387362868","432105897","516829952","348894556","318389656","390450118","210998418","238085904","316443286","325860739","383060526","313304364","407716882","403295112","379215390","432120658","587155518","428772664","597375569","686689001","565389122","566345264","588611091","719109950","730459475","536541145","852239925","456900073","975839805",
"아프리카","소재·부품·장비산업","수출액[$]","$","147572153","191089965","205604340","158486502","161864461","178755021","188298395","175760738","163105162","167389184","175523559","190354773","177385287","197900489","202936759","242841874","203836039","200938639","203438868","219183967","188743939","197749980","173928737","162518886","161016917","172737845","191118908","210013273","186754503","176392795","188308242","195186269","191409278","186657662","159761029","255411206","146441395","184466265","247982576","166160405","126970803","156682718","164998414","140427391","149114990","129278573","111797132","155440526","89143122","113083114","110638232","111517739","119781995","144143153","127073524","123693904","133170251","102469035","131139322","120298668","96368828","121806281","123576756","144143736","148256352","155180462","123554349","130353026","123969058","107609372","125964967","121343420","129502914","125040151","147807703","145213946","152576147","150343852","150178006","197668358","252850495","145507557","134567107","147440344","141198249","133763255","130783822","144468520","169918487","135289578","147231742","119814771","125879333","140397938","120194978","138782476","120550378","135798948","155878946","130141191","114546632","114937779","133497659","130701981","145135190","141583519","179219589","164305415","150819302","166692148","199858948","219382544","189713109","184765046","191656835","166767219","212117245","201698042","206167315","207855914","196475975","181216716","210277093",
"아프리카","소재·부품·장비산업","수입액[$]","$","109642916","123648331","146449470","141967490","104989067","127005814","99569488","108352969","134911371","144342555","135241181","106942099","114678537","135316854","144774162","127498279","140126362","111966584","156922474","90483621","111229221","126056011","83907812","95620157","141285730","163145881","180817013","126070500","96338569","116212083","115060706","107362713","112675546","143704629","99213929","119863286","148103712","113705741","118297585","161555268","157709093","133942937","126234922","104952352","98608333","110111914","82544928","94380437","103354836","71118899","101365180","100762700","106358687","110645112","103886350","83715605","97316769","70735645","99356515","115592444","132013371","111556673","119516143","159218709","114633092","105801122","140192473","94234178","135230900","106950857","118013279","133649720","142415519","99248872","119208488","131393077","108435064","111557896","114477635","126205042","94570674","100554122","97518210","123150669","107646242","74651975","111234392","119714896","97900262","107400721","115265132","94115245","82028345","113956028","96071022","129693554","98040627","77005276","90675841","90057480","56923172","52476290","84089851","69411555","130329237","94737036","110375591","144333243","103487052","137537038","152550742","168899127","153159923","158173895","129425691","148601290","140869541","129740874","142885947","166139908","149138250","228558957","290446909",
"남아프리카공화국","전산업","수출액[$]","$","235923947","197164899","172152807","215928396","189703025","187875129","159145279","136288551","203454338","181911554","141769044","166956085","209768740","377193195","201216281","165587823","154072480","153620407","142924613","180052866","116939092","175294305","141975622","679149786","130649228","116753117","142150262","146973933","119401078","134546008","159473024","98181600","108071347","104146269","80908464","134318586","92111191","84622110","114766771","131856565","119751132","127905783","121347756","82849117","96388508","98411595","87269653","105166998","55340000","53736265","92076529","78890116","80631452","92449403","79528420","75887677","73965350","83459846","103215765","80999517","52382763","65906549","87168136","99077925","111119149","90358351","85959528","67824393","96083439","68683585","71620191","73625822","75785032","62189529","80295368","84240398","89333205","81736497","101817337","100151774","78806212","90570392","72970247","104080820","65399759","59669884","67575333","72036880","84146956","70988368","77768655","67909009","73167490","60282886","65710960","69418538","56386154","53072720","61709677","42290734","36114306","58789667","49036520","48814014","54040344","72025712","60781907","73256795","85763698","81947114","80838216","78406966","72011768","97286410","93273282","68783085","91021098","71205339","85850004","82232471","94058109","76574764","137654297",
"남아프리카공화국","전산업","수입액[$]","$","300388898","196236081","232547068","201548525","183388106","160331508","112687452","193324791","163696285","164156036","126975261","93666633","166056371","137102792","129483303","134834744","153651746","166795298","128150831","148589989","138770287","148565148","147629099","129639617","113468069","129574446","197451442","168942030","83675583","112837523","178795398","109152566","127950640","141208191","122312645","138536042","133301010","125843145","77627932","148843688","134917261","97921444","115650598","110233404","115786452","137448494","102501206","115868432","106974254","64405569","84868801","91568964","109083545","107391905","124099119","96770852","102137341","100084603","134185350","210106919","182296196","279841271","213788533","174294114","127259373","205611859","180634356","189732498","145741751","191757078","177657660","240268821","202106483","216216447","253693657","222764256","192224050","212605734","165445042","156364177","136309378","134821189","190109767","273815077","168619077","131468138","176622542","269816081","167756837","192012570","161611596","139342258","232492940","221062124","128013433","196857257","137948515","102343217","91896694","175165053","60553805","60189387","202095526","159015160","189559336","134272959","189054441","190007896","161377653","197487079","209031221","81909860","200552225","239592498","195616132","224113333","282417142","225965327","375831638","227081391","243414510","193902357","302597954",
